confidence,id,source_id,target_id,type
0.6,,phishing,exploit,related_to
0.6,,phishing,community,related_to
0.6,,phishing,phishing,related_to
0.6,,phishing,intrusion,related_to
0.6,,phishing,malware,related_to
0.6,,phishing,Device,related_to
0.6,,phishing,Virus,related_to
0.6,,phishing,Phishing,related_to
0.6,,phishing,ransomware,related_to
0.6,,phishing,suspicious activity,related_to
0.6,,phishing,Exploit,related_to
0.6,,phishing,Malware,related_to
0.6,,phishing,permission,related_to
0.6,,phishing,Ransomware,related_to
0.6,,phishing,credentials,related_to
0.6,,phishing,DDoS,related_to
0.6,,phishing,Execution,related_to
0.6,,phishing,attack,related_to
0.6,,phishing,restrictions,related_to
0.6,,phishing,connections,related_to
0.6,,phishing,interaction,related_to
0.6,,phishing,policies,related_to
0.6,,phishing,traffic,related_to
0.6,,phishing,Attack,related_to
0.6,,phishing,virus,related_to
0.6,,phishing,Suspicious Activity,related_to
0.6,,phishing,breach,related_to
0.6,,phishing,brute force,related_to
0.6,,Phishing,phishing,related_to
0.6,,Phishing,ransomware,related_to
0.6,,Phishing,intrusion,related_to
0.6,,Phishing,malware,related_to
0.6,,Phishing,virus,related_to
0.6,,Phishing,Virus,related_to
0.6,,Phishing,Ransomware,related_to
0.6,,Phishing,exploit,related_to
0.6,,Phishing,brute force,related_to
0.6,,Phishing,suspicious activity,related_to
0.6,,Phishing,Malware,related_to
0.6,,Phishing,attack,related_to
0.6,,Phishing,Attack,related_to
0.6,,Phishing,Suspicious Activity,related_to
0.6,,Phishing,DDoS,related_to
0.6,,Phishing,connections,related_to
0.6,,Phishing,Phishing,related_to
0.6,,exploit,community,related_to
0.6,,exploit,intrusion,related_to
0.6,,exploit,malware,related_to
0.6,,exploit,ransomware,related_to
0.6,,exploit,phishing,related_to
0.6,,exploit,Phishing,related_to
0.6,,exploit,suspicious activity,related_to
0.6,,exploit,Exploit,related_to
0.6,,exploit,Malware,related_to
0.6,,exploit,permission,related_to
0.6,,exploit,Ransomware,related_to
0.6,,exploit,DDoS,related_to
0.6,,exploit,Execution,related_to
0.6,,exploit,restrictions,related_to
0.6,,exploit,attack,related_to
0.6,,exploit,interaction,related_to
0.6,,ransomware,phishing,related_to
0.6,,ransomware,intrusion,related_to
0.6,,ransomware,malware,related_to
0.6,,ransomware,Device,related_to
0.6,,ransomware,virus,related_to
0.6,,ransomware,Virus,related_to
0.6,,ransomware,Ransomware,related_to
0.6,,ransomware,ransomware,related_to
0.6,,ransomware,suspicious activity,related_to
0.6,,ransomware,exploit,related_to
0.6,,ransomware,brute force,related_to
0.6,,ransomware,Malware,related_to
0.6,,ransomware,Suspicious Activity,related_to
0.6,,ransomware,attack,related_to
0.6,,ransomware,credentials,related_to
0.6,,ransomware,DDoS,related_to
0.6,,ransomware,Execution,related_to
0.6,,ransomware,restrictions,related_to
0.6,,ransomware,connections,related_to
0.6,,ransomware,interaction,related_to
0.6,,ransomware,Phishing,related_to
0.6,,ransomware,policies,related_to
0.6,,ransomware,traffic,related_to
0.6,,ransomware,Attack,related_to
0.6,,ransomware,breach,related_to
0.6,,policies,attack,related_to
0.6,,policies,malware,related_to
0.6,,policies,phishing,related_to
0.6,,policies,ransomware,related_to
0.6,,policies,intrusion,related_to
0.6,,policies,traffic,related_to
0.6,,policies,credentials,related_to
0.6,,policies,exploit,related_to
0.6,,policies,interaction,related_to
0.6,,policies,Malware,related_to
0.6,,policies,Attack,related_to
0.6,,policies,Phishing,related_to
0.6,,policies,virus,related_to
0.6,,policies,DDoS,related_to
0.6,,policies,connections,related_to
0.6,,policies,breach,related_to
0.6,,community,phishing,related_to
0.6,,community,intrusion,related_to
0.6,,community,malware,related_to
0.6,,community,ransomware,related_to
0.6,,community,Device,related_to
0.6,,community,Phishing,related_to
0.6,,community,suspicious activity,related_to
0.6,,community,Exploit,related_to
0.6,,community,Malware,related_to
0.6,,community,exploit,related_to
0.6,,community,permission,related_to
0.6,,community,Ransomware,related_to
0.6,,community,credentials,related_to
0.6,,community,DDoS,related_to
0.6,,community,Execution,related_to
0.6,,community,attack,related_to
0.6,,community,restrictions,related_to
0.6,,community,interaction,related_to
0.6,,attack,phishing,related_to
0.6,,attack,malware,related_to
0.6,,attack,ransomware,related_to
0.6,,attack,intrusion,related_to
0.6,,attack,traffic,related_to
0.6,,attack,credentials,related_to
0.6,,attack,exploit,related_to
0.6,,attack,interaction,related_to
0.6,,attack,Malware,related_to
0.6,,attack,Attack,related_to
0.6,,attack,Phishing,related_to
0.6,,attack,virus,related_to
0.6,,attack,attack,related_to
0.6,,attack,connections,related_to
0.6,,attack,breach,related_to
0.6,,intrusion,intrusion,related_to
0.6,,intrusion,malware,related_to
0.6,,intrusion,ransomware,related_to
0.6,,intrusion,phishing,related_to
0.6,,intrusion,Phishing,related_to
0.6,,intrusion,suspicious activity,related_to
0.6,,intrusion,Exploit,related_to
0.6,,intrusion,Malware,related_to
0.6,,intrusion,permission,related_to
0.6,,intrusion,Suspicious Activity,related_to
0.6,,intrusion,DDoS,related_to
0.6,,intrusion,Execution,related_to
0.6,,intrusion,restrictions,related_to
0.6,,intrusion,interaction,related_to
0.6,,intrusion,Device,related_to
0.6,,intrusion,virus,related_to
0.6,,intrusion,Virus,related_to
0.6,,intrusion,Ransomware,related_to
0.6,,intrusion,exploit,related_to
0.6,,intrusion,brute force,related_to
0.6,,intrusion,attack,related_to
0.6,,intrusion,credentials,related_to
0.6,,intrusion,connections,related_to
0.6,,malware,malware,related_to
0.6,,malware,virus,related_to
0.6,,malware,Virus,related_to
0.6,,malware,phishing,related_to
0.6,,malware,Ransomware,related_to
0.6,,malware,ransomware,related_to
0.6,,malware,exploit,related_to
0.6,,malware,brute force,related_to
0.6,,malware,suspicious activity,related_to
0.6,,malware,intrusion,related_to
0.6,,malware,Malware,related_to
0.6,,malware,traffic,related_to
0.6,,malware,credentials,related_to
0.6,,malware,attack,related_to
0.6,,malware,Attack,related_to
0.6,,malware,Suspicious Activity,related_to
0.6,,malware,DDoS,related_to
0.6,,malware,connections,related_to
0.6,,malware,Phishing,related_to
0.6,,malware,breach,related_to
0.6,,malware,Device,related_to
0.6,,malware,Exploit,related_to
0.6,,malware,permission,related_to
0.6,,malware,Execution,related_to
0.6,,malware,restrictions,related_to
0.6,,malware,interaction,related_to
0.6,,ransomware,Exploit,related_to
0.6,,ransomware,rights,related_to
0.6,,malware,rights,related_to
0.6,,Device,Virus,related_to
0.6,,Device,phishing,related_to
0.6,,Device,Phishing,related_to
0.6,,Device,Ransomware,related_to
0.6,,Device,malware,related_to
0.6,,Device,ransomware,related_to
0.6,,Device,suspicious activity,related_to
0.6,,Device,Exploit,related_to
0.6,,Device,Malware,related_to
0.6,,Device,brute force,related_to
0.6,,Device,exploit,related_to
0.6,,Device,permission,related_to
0.6,,Device,credentials,related_to
0.6,,Device,DDoS,related_to
0.6,,Device,Execution,related_to
0.6,,Device,attack,related_to
0.6,,Device,restrictions,related_to
0.6,,Device,connections,related_to
0.6,,Device,interaction,related_to
0.6,,virus,Virus,related_to
0.6,,virus,phishing,related_to
0.6,,virus,Ransomware,related_to
0.6,,virus,ransomware,related_to
0.6,,virus,malware,related_to
0.6,,virus,exploit,related_to
0.6,,virus,brute force,related_to
0.6,,virus,suspicious activity,related_to
0.6,,virus,Malware,related_to
0.6,,virus,attack,related_to
0.6,,virus,virus,related_to
0.6,,virus,intrusion,related_to
0.6,,virus,Suspicious Activity,related_to
0.6,,virus,DDoS,related_to
0.6,,virus,connections,related_to
0.6,,virus,interaction,related_to
0.6,,virus,Phishing,related_to
0.6,,Virus,Virus,related_to
0.6,,Virus,phishing,related_to
0.6,,Virus,Ransomware,related_to
0.6,,Virus,malware,related_to
0.6,,Virus,ransomware,related_to
0.6,,Virus,suspicious activity,related_to
0.6,,Virus,exploit,related_to
0.6,,Virus,brute force,related_to
0.6,,Virus,Malware,related_to
0.6,,Virus,attack,related_to
0.6,,Virus,intrusion,related_to
0.6,,Virus,Suspicious Activity,related_to
0.6,,Virus,credentials,related_to
0.6,,Virus,DDoS,related_to
0.6,,Virus,virus,related_to
0.6,,Virus,restrictions,related_to
0.6,,Virus,connections,related_to
0.6,,Virus,interaction,related_to
0.6,,Virus,Phishing,related_to
0.6,,Virus,Exploit,related_to
0.6,,Virus,permission,related_to
0.6,,Virus,Execution,related_to
0.6,,Phishing,Exploit,related_to
0.6,,Phishing,permission,related_to
0.6,,Phishing,Execution,related_to
0.6,,Phishing,restrictions,related_to
0.6,,Phishing,interaction,related_to
0.6,,phishing,rights,related_to
0.6,,Phishing,rights,related_to
0.6,,intrusion,107.161.23.204,related_to
0.6,,intrusion,192.161.187.200,related_to
0.6,,intrusion,209.141.38.71,related_to
0.6,,ransomware,permission,related_to
0.6,,Ransomware,malware,related_to
0.6,,Ransomware,ransomware,related_to
0.6,,Ransomware,suspicious activity,related_to
0.6,,Ransomware,exploit,related_to
0.6,,Ransomware,brute force,related_to
0.6,,Ransomware,Malware,related_to
0.6,,Ransomware,attack,related_to
0.6,,Ransomware,Ransomware,related_to
0.6,,Ransomware,intrusion,related_to
0.6,,Ransomware,Suspicious Activity,related_to
0.6,,Ransomware,credentials,related_to
0.6,,Ransomware,DDoS,related_to
0.6,,Ransomware,phishing,related_to
0.6,,Ransomware,virus,related_to
0.6,,Ransomware,restrictions,related_to
0.6,,Ransomware,connections,related_to
0.6,,Ransomware,interaction,related_to
0.6,,Ransomware,Phishing,related_to
0.6,,malware,training,related_to
0.6,,suspicious activity,phishing,related_to
0.6,,suspicious activity,ransomware,related_to
0.6,,suspicious activity,Exploit,related_to
0.6,,suspicious activity,Malware,related_to
0.6,,suspicious activity,malware,related_to
0.6,,suspicious activity,exploit,related_to
0.6,,suspicious activity,Phishing,related_to
0.6,,suspicious activity,permission,related_to
0.6,,suspicious activity,Ransomware,related_to
0.6,,suspicious activity,suspicious activity,related_to
0.6,,suspicious activity,credentials,related_to
0.6,,suspicious activity,DDoS,related_to
0.6,,suspicious activity,Execution,related_to
0.6,,suspicious activity,attack,related_to
0.6,,suspicious activity,restrictions,related_to
0.6,,suspicious activity,connections,related_to
0.6,,suspicious activity,interaction,related_to
0.6,,exploit,brute force,related_to
0.6,,exploit,exploit,related_to
0.6,,exploit,Attack,related_to
0.6,,exploit,virus,related_to
0.6,,exploit,Suspicious Activity,related_to
0.6,,exploit,connections,related_to
0.6,,Exploit,Malware,related_to
0.6,,Exploit,malware,related_to
0.6,,Exploit,exploit,related_to
0.6,,Exploit,Exploit,related_to
0.6,,Exploit,Phishing,related_to
0.6,,Exploit,phishing,related_to
0.6,,Exploit,permission,related_to
0.6,,Exploit,Ransomware,related_to
0.6,,Exploit,ransomware,related_to
0.6,,Exploit,suspicious activity,related_to
0.6,,Exploit,credentials,related_to
0.6,,Exploit,DDoS,related_to
0.6,,Exploit,Execution,related_to
0.6,,Exploit,attack,related_to
0.6,,Exploit,restrictions,related_to
0.6,,Exploit,interaction,related_to
0.6,,brute force,malware,related_to
0.6,,brute force,suspicious activity,related_to
0.6,,brute force,brute force,related_to
0.6,,brute force,Malware,related_to
0.6,,brute force,attack,related_to
0.6,,brute force,exploit,related_to
0.6,,brute force,virus,related_to
0.6,,brute force,Ransomware,related_to
0.6,,brute force,ransomware,related_to
0.6,,brute force,intrusion,related_to
0.6,,brute force,Suspicious Activity,related_to
0.6,,brute force,credentials,related_to
0.6,,brute force,DDoS,related_to
0.6,,brute force,phishing,related_to
0.6,,brute force,connections,related_to
0.6,,brute force,interaction,related_to
0.6,,brute force,Phishing,related_to
0.6,,suspicious activity,brute force,related_to
0.6,,suspicious activity,intrusion,related_to
0.6,,suspicious activity,Suspicious Activity,related_to
0.6,,suspicious activity,virus,related_to
0.6,,Malware,malware,related_to
0.6,,Malware,Malware,related_to
0.6,,Malware,Exploit,related_to
0.6,,Malware,Phishing,related_to
0.6,,Malware,phishing,related_to
0.6,,Malware,permission,related_to
0.6,,Malware,Ransomware,related_to
0.6,,Malware,ransomware,related_to
0.6,,Malware,suspicious activity,related_to
0.6,,Malware,intrusion,related_to
0.6,,Malware,credentials,related_to
0.6,,Malware,DDoS,related_to
0.6,,Malware,Execution,related_to
0.6,,Malware,restrictions,related_to
0.6,,Malware,attack,related_to
0.6,,Malware,interaction,related_to
0.6,,Ransomware,rights,related_to
0.6,,brute force,restrictions,related_to
0.6,,intrusion,traffic,related_to
0.6,,intrusion,Attack,related_to
0.6,,intrusion,breach,related_to
0.6,,Malware,exploit,related_to
0.6,,Malware,Suspicious Activity,related_to
0.6,,Malware,virus,related_to
0.6,,Malware,connections,related_to
0.6,,Malware,rights,related_to
0.6,,107.161.23.204,192.161.187.200,related_to
0.6,,107.161.23.204,209.141.38.71,related_to
0.6,,107.161.23.204,Malware,related_to
0.6,,107.161.23.204,ransomware,related_to
0.6,,107.161.23.204,attack,related_to
0.6,,107.161.23.204,phishing,related_to
0.6,,107.161.23.204,intrusion,related_to
0.6,,192.161.187.200,209.141.38.71,related_to
0.6,,192.161.187.200,Malware,related_to
0.6,,192.161.187.200,ransomware,related_to
0.6,,192.161.187.200,attack,related_to
0.6,,192.161.187.200,phishing,related_to
0.6,,192.161.187.200,intrusion,related_to
0.6,,209.141.38.71,Malware,related_to
0.6,,209.141.38.71,phishing,related_to
0.6,,209.141.38.71,intrusion,related_to
0.6,,209.141.38.71,training,related_to
0.6,,209.141.38.71,attack,related_to
0.6,,traffic,credentials,related_to
0.6,,traffic,traffic,related_to
0.6,,traffic,attack,related_to
0.6,,traffic,exploit,related_to
0.6,,traffic,interaction,related_to
0.6,,traffic,Malware,related_to
0.6,,traffic,Attack,related_to
0.6,,traffic,malware,related_to
0.6,,traffic,Phishing,related_to
0.6,,traffic,virus,related_to
0.6,,traffic,ransomware,related_to
0.6,,traffic,Suspicious Activity,related_to
0.6,,traffic,intrusion,related_to
0.6,,traffic,DDoS,related_to
0.6,,traffic,connections,related_to
0.6,,traffic,phishing,related_to
0.6,,traffic,breach,related_to
0.6,,credentials,traffic,related_to
0.6,,credentials,attack,related_to
0.6,,credentials,exploit,related_to
0.6,,credentials,interaction,related_to
0.6,,credentials,malware,related_to
0.6,,credentials,Malware,related_to
0.6,,credentials,Attack,related_to
0.6,,credentials,Phishing,related_to
0.6,,credentials,virus,related_to
0.6,,credentials,ransomware,related_to
0.6,,credentials,Suspicious Activity,related_to
0.6,,credentials,intrusion,related_to
0.6,,credentials,DDoS,related_to
0.6,,credentials,connections,related_to
0.6,,credentials,phishing,related_to
0.6,,credentials,breach,related_to
0.6,,attack,Suspicious Activity,related_to
0.6,,attack,DDoS,related_to
0.6,,exploit,credentials,related_to
0.6,,Exploit,intrusion,related_to
0.6,,exploit,rights,related_to
0.6,,rights,malware,related_to
0.6,,rights,intrusion,related_to
0.6,,rights,Suspicious Activity,related_to
0.6,,rights,ransomware,related_to
0.6,,rights,attack,related_to
0.6,,exploit,breach,related_to
0.6,,interaction,exploit,related_to
0.6,,interaction,Malware,related_to
0.6,,interaction,Attack,related_to
0.6,,interaction,malware,related_to
0.6,,interaction,Phishing,related_to
0.6,,interaction,virus,related_to
0.6,,interaction,ransomware,related_to
0.6,,interaction,Suspicious Activity,related_to
0.6,,interaction,intrusion,related_to
0.6,,interaction,DDoS,related_to
0.6,,interaction,attack,related_to
0.6,,interaction,connections,related_to
0.6,,interaction,phishing,related_to
0.6,,interaction,breach,related_to
0.6,,Malware,Attack,related_to
0.6,,Malware,breach,related_to
0.6,,Attack,malware,related_to
0.6,,Attack,Phishing,related_to
0.6,,Attack,virus,related_to
0.6,,Attack,exploit,related_to
0.6,,Attack,ransomware,related_to
0.6,,Attack,intrusion,related_to
0.6,,Attack,Suspicious Activity,related_to
0.6,,Attack,DDoS,related_to
0.6,,Attack,attack,related_to
0.6,,Attack,connections,related_to
0.6,,Attack,phishing,related_to
0.6,,Attack,breach,related_to
0.6,,Malware,training,related_to
0.6,,Phishing,credentials,related_to
0.6,,Phishing,breach,related_to
0.6,,virus,breach,related_to
0.6,,permission,Malware,related_to
0.6,,permission,malware,related_to
0.6,,permission,Ransomware,related_to
0.6,,permission,ransomware,related_to
0.6,,permission,suspicious activity,related_to
0.6,,permission,phishing,related_to
0.6,,permission,credentials,related_to
0.6,,permission,DDoS,related_to
0.6,,permission,Execution,related_to
0.6,,permission,attack,related_to
0.6,,permission,restrictions,related_to
0.6,,permission,interaction,related_to
0.6,,permission,exploit,related_to
0.6,,Ransomware,Execution,related_to
0.6,,Suspicious Activity,attack,related_to
0.6,,Suspicious Activity,intrusion,related_to
0.6,,Suspicious Activity,ransomware,related_to
0.6,,Suspicious Activity,DDoS,related_to
0.6,,Suspicious Activity,phishing,related_to
0.6,,Suspicious Activity,virus,related_to
0.6,,Suspicious Activity,connections,related_to
0.6,,Suspicious Activity,malware,related_to
0.6,,Suspicious Activity,exploit,related_to
0.6,,Suspicious Activity,Phishing,related_to
0.6,,credentials,Execution,related_to
0.6,,credentials,restrictions,related_to
0.6,,credentials,suspicious activity,related_to
0.6,,Suspicious Activity,interaction,related_to
0.6,,DDoS,DDoS,related_to
0.6,,DDoS,attack,related_to
0.6,,DDoS,intrusion,related_to
0.6,,DDoS,virus,related_to
0.6,,DDoS,connections,related_to
0.6,,DDoS,exploit,related_to
0.6,,DDoS,malware,related_to
0.6,,DDoS,Phishing,related_to
0.6,,DDoS,breach,related_to
0.6,,DDoS,phishing,related_to
0.6,,DDoS,ransomware,related_to
0.6,,DDoS,Execution,related_to
0.6,,DDoS,restrictions,related_to
0.6,,DDoS,suspicious activity,related_to
0.6,,DDoS,interaction,related_to
0.6,,attack,visits,related_to
0.6,,Execution,Execution,related_to
0.6,,Execution,attack,related_to
0.6,,Execution,restrictions,related_to
0.6,,Execution,suspicious activity,related_to
0.6,,Execution,phishing,related_to
0.6,,Execution,ransomware,related_to
0.6,,Execution,malware,related_to
0.6,,Execution,interaction,related_to
0.6,,Execution,exploit,related_to
0.6,,training,phishing,related_to
0.6,,training,attack,related_to
0.6,,attack,restrictions,related_to
0.6,,attack,suspicious activity,related_to
0.6,,restrictions,suspicious activity,related_to
0.6,,restrictions,phishing,related_to
0.6,,restrictions,attack,related_to
0.6,,restrictions,ransomware,related_to
0.6,,restrictions,malware,related_to
0.6,,restrictions,connections,related_to
0.6,,restrictions,interaction,related_to
0.6,,restrictions,exploit,related_to
0.6,,visits,attack,related_to
0.6,,connections,exploit,related_to
0.6,,connections,connections,related_to
0.6,,connections,malware,related_to
0.6,,connections,phishing,related_to
0.6,,connections,Phishing,related_to
0.6,,connections,breach,related_to
0.6,,connections,attack,related_to
0.6,,connections,ransomware,related_to
0.6,,connections,interaction,related_to
0.6,,interaction,interaction,related_to
0.6,,breach,attack,related_to
0.6,,breach,phishing,related_to
0.6,,breach,ransomware,related_to
